dish,mood,dayStatus,craving,diet,cuisines
Margherita,Stressed,Productive,Sweet,Veg,North Indian
Veggie Feast,Tired,Productive,Light,Non-Veg,North Indian
Tandoori Paneer,Tired,Productive,Light,Veg,North Indian
Country Feast,Tired,Normal,Spicy,Veg,North Indian
Veggie Supreme,Happy,Normal,Light,Non-Veg,North Indian
Chicken Sausage,Tired,Lazy,Sweet,Non-Veg,North Indian
Murg Malai Chicken,Sad,Lazy,Light,Non-Veg,North Indian
Chicken Supreme,Tired,Productive,Heavy,Non-Veg,North Indian
Triple Chicken Feast,Stressed,Normal,Light,Non-Veg,North Indian
Classic Onion Capsicum,Sad,Lazy,Heavy,Veg,North Indian
Cheesy Spicy Delight,Tired,Hectic,Heavy,Veg,North Indian
Chilli Paneer Sizzle,Tired,Productive,Light,Veg,North Indian
Classic Chicken Pepperoni & Onion,Stressed,Productive,Heavy,Non-Veg,North Indian
Classic Herbed Chicken & Capsicum,Tired,Productive,Light,Non-Veg,North Indian
Chatpata Chicken Feast,Stressed,Normal,Light,Non-Veg,North Indian
Bold BBQ Veggie Thin n Crispy,Happy,Productive,Spicy,Non-Veg,North Indian
Spicy Schezwan Pasta Chicken,Stressed,Hectic,Light,Non-Veg,Chinese
Spicy Red Schezwan Pasta,Stressed,Normal,Sweet,Veg,Chinese
Veggie Supreme,Sad,Hectic,Heavy,Non-Veg,North Indian
Veggie Supreme,Stressed,Productive,Sweet,Non-Veg,North Indian
Kadhai Paneer,Tired,Productive,Sweet,Veg,North Indian
Southern Fiery Paneer,Sad,Productive,Light,Veg,North Indian
Royal Spice Paneer,Sad,Hectic,Sweet,Veg,North Indian
Kadhai Chicken,Tired,Normal,Sweet,Non-Veg,North Indian
Juicylicious Southern Fiery Chicken,Happy,Productive,Light,Non-Veg,North Indian
Royal Spice Chicken,Tired,Productive,Light,Non-Veg,North Indian
Kadhai Paneer Melts,Tired,Hectic,Sweet,Veg,North Indian
Royal Spice Paneer Melts,Stressed,Productive,Heavy,Veg,North Indian
Kadhai Chicken Melts,Happy,Lazy,Light,Non-Veg,North Indian
Royal Spice Chicken Melts,Happy,Productive,Heavy,Non-Veg,North Indian
Baked Royal Spice Chicken Wings 4pc,Tired,Productive,Light,Non-Veg,North Indian
Baked Royal Spice Chicken Wings 6pc,Tired,Lazy,Heavy,Non-Veg,North Indian
Baked Southern Fiery Chicken Wings 4pc,Stressed,Productive,Sweet,Non-Veg,North Indian
Baked Southern Fiery Chicken Wings 6pc,Sad,Hectic,Light,Non-Veg,North Indian
Kadhai Garlic Bread,Sad,Lazy,Light,Veg,North Indian
Southern Fiery Garlic Bread,Happy,Hectic,Spicy,Veg,North Indian
